S. No.,Zone,Phase,Cycle,UPC,Unnamed: 5,Survey_UPC,Project Name,Start Chainage,End Chainage,Start Lat,Start Long,End Lat,End Long
386,B,Phase 1,Cycle 1,N_04003_11006_RJ,N/04003/11006/RJ,,Rasisar (near Bikaner)-Deogarh (near Dhandhaniya) (Phase-I) (AJ/RD-Package-5),120000,148000,26.7952732611667,72.826025189,26.5628972438333,72.7177187496667
387,B,Phase 1,Cycle 1,N_08015_03002_RJ,N/08015/03002/RJ,,"2L PS Jodhpur‐Pokaran Section of NH‐125 from km 11+000 to 16+700, km 18+560 to 51+740, km 53+070 to 101+400, km 126+500 to 175+433 (Total length 136+143 km).",11000,175430,26.3204100986667,72.9652168516667,26.9321149663333,71.8739700763333
388,B,Phase 1,Cycle 1,N_08015_01001_RJ,N/08015/01001/RJ,,Bar-Bilara-Jodhpur (Km 0.000 to Km 111.000) of NH-112 in the State of Rajasthan,11,109831,26.07130022,74.113660687,26.3353057326667,73.1397759051667
389,B,Phase 1,Cycle 1,N_08057_01002_RJ,N/08057/01002/RJ,,Operation & Maintenance of 2L PS of Jodhpur-Pachpadra section of NH-25 from km. 95.140 to 114.610 and from km. 116.060 to 180.755,96000,180760,25.9145398113333,72.247347639,26.1974769156667,72.943425429
390,B,Phase 1,Cycle 1,N_08012_01001_RJ,N/08012/01001/RJ,,Bikaner Phalodi Section of NH 11,265540,424710,27.1147967388333,72.3790038653333,28.0230668615,73.2817464098333
391,B,Phase 1,Cycle 1,N_01001_07001_GJ,N/01001/07001/GJ,,Vadodara Mumbai Expressway (Sanpa to Padra) (Phase IA - Pkg II) [Km 323.00 to Km 355.000],323000,355020,22.0045927,73.00628595,22.27001007,73.10474243
392,B,Phase 1,Cycle 1,N_01001_08001_GJ,N/01001/08001/GJ,,Vadodara Mumbai Expressway (Manubar to Sanpa) (Phase IA - Pkg III) [Km 292.000 to Km 323.000],292000,323000,21.73611972,72.93562011,22.00460246,73.00628927
393,B,Phase 1,Cycle 2,N_01001_03005_RJ,N/01001/03005/RJ,,Delhi-Vadodara Greenfield Alignment (NH-148N) (Pkg-07) (Ch.183.000 to Ch. 214.260) (Junction with NH-11 - Start of RoB near junction with NH- 11A),183000,214270,26.9000401831667,76.4228669563333,26.6424859776667,76.3005060601667
394,B,Phase 1,Cycle 2,N_01001_03006_RJ,N/01001/03006/RJ,,Delhi-Vadodara Greenfield Alignment (NH-148N) (Pkg-08) (Ch. 214.260 - Ch. 247.31) [Start of RoB near junction with NH-11A to Junction with MDR-1 (Baonli-Jhalai road)],214260,247340,26.642235823,76.3003358995,26.3611848491666,76.2505013028333
395,B,Phase 1,Cycle 2,N_01001_03007_RJ,N/01001/03007/RJ,,Delhi-Vadodara Greenfield Alignment (NH-148N) (Pkg-09) (Ch. 247.310 - Ch. 292.950),247310,290660,26.3611430041667,76.2504819761667,25.9746656888333,76.2508321916667
396,B,Phase 1,Cycle 2,N_01001_03009_RJ,N/01001/03009/RJ,,Delhi-Vadodara Greenfield Alignment (NH-148N) (Pkg-11) (Ch. 319.400 to Ch. 331.030) [Hardeoganj village near Indergarh to Major Bridge on Mej River],319400,331030,25.7241881983333,76.2459482051667,25.6299206328333,76.2034360725
397,B,Phase 1,Cycle 2,N_01001_03010_RJ,N/01001/03010/RJ,,Delhi-Vadodara Greenfield Alignment (NH-148N) (Pkg-12) (Ch. 331.030 to Ch. 359.170) [Major Bridge on Mej River to Junction with SH-37A],331030,359170,25.6303457423333,76.2033414218333,25.3818233568333,76.1981420923333
398,B,Phase 1,Cycle 2,N_01001_03011_RJ,N/01001/03011/RJ,,Delhi-Vadodara Greenfield Alignment (NH-148N) (Pkg-13) (Ch. 359.170 to Ch. 388.420) [Junction with SH-37A to Junction with NH- 76],359170,388420,25.3817117593333,76.1981328521666,25.145250764,76.0738461455
